added,created,id,metadata,source,text
2024-08-12T18:19:15.567345,1999-09-09 09:48:21,cond-mat/9909132,"{'authors': 'A. Ozpineci, D.M. Leitner, S. Ciraci', 'full_text_license': 'None', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0001.json.gz:334288', 'submitter': 'Altug Ozpineci', 'url': 'https://arxiv.org/abs/cond-mat/9909132'}",arxiv-abstracts,"  Understanding mechanisms for energy dissipation from nanoparticles in contact
with large samples is a central problem in describing friction microscopically.
Calculation of the reduced density matrix appears to be the most suitable metho
to study such systems that are coupled to a large environment. In this paper
the time evolution of the reduced density matrix has been evaluated for an
arbitrary system coupled to a heat reservoir. The formalism is then applied to
study the vibrational relaxation following the stick-slip motion of a small
adsorbate on a surface. The frequency dependence of the relaxation time is also
determined.
"
2024-08-12T18:19:13.926443,2006-05-13 04:50:22,cond-mat/0605352,"{'authors': 'D. Qian, L. Wray, D. Hsieh, D. Wu, L.J. Luo, N.L. Wang, A. Fedorov,\n  R.J. Cava, L. Viciu, M.Z. Hasan', 'full_text_license': 'None', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0001.json.gz:307645', 'submitter': 'M Zahid Hasan', 'url': 'https://arxiv.org/abs/cond-mat/0605352'}",arxiv-abstracts,"  Layered cobaltates embody novel realizations of correlated quantum matter on
a spin-1/2 triangular lattice. We report a high-resolution systematic
photoemission study of the insulating cobaltates (Na1/2CoO2 and K1/2CoO2).
Observation of single-particle gap opening and band-folding provides direct
evidence of anisotropic particle-hole instability on the Fermi surface due to
its unique topology. Kinematic overlap of the measured Fermi surface is
observed with the $\sqrt{3}$x$\sqrt{3}$ cobalt charge-order Brillouin zone near
x=1/3 but not at x=1/2 where insulating transition is actually observed. Unlike
conventional density-waves, charge-stripes or band insulators, the on-set of
the gap depends on the quasiparticle's quantum coherence which is found to
occur well below the disorder-order symmetry breaking temperature of the
crystal (the first known example of its kind).
"
2024-08-12T18:17:45.631206,2019-05-16 13:35:48,1905.06743,"{'authors': 'Supriyo Ghosh, Kumar S. Gupta, and Shashi C. L. Srivastava', 'full_text_license': 'arXiv.org - Non-exclusive license to distribute - http://arxiv.org/licenses/nonexclusive-distrib/1.0/', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0000.json.gz:1124228', 'submitter': 'Supriyo Ghosh', 'url': 'https://arxiv.org/abs/1905.06743'}",arxiv-abstracts,"  The quantum dynamics of isolated systems under quench condition exhibits a
variety of interesting features depending on the integrable/chaotic nature of
system. We study the exact dynamics of trivially integrable system of harmonic
chains under a multiple quench protocol. Out of time ordered correlator of two
Hermitian operators at large time displays scrambling in the thermodynamic
limit. In this limit, the entanglement entropy and the central component of
momentum distribution both saturate to a steady state value. We also show that
reduced density matrix assumes the diagonal form long after multiple quenches
for large system size. These exact results involving infinite dimensional
Hilbert space are indicative of local thermal behaviour for a trivially
integrable harmonic chain.
"
2024-08-12T18:17:45.239828,2019-05-04 12:52:43,1905.01487,"{'authors': 'Shiro Sakai and Ryotaro Arita', 'full_text_license': 'arXiv.org - Non-exclusive license to distribute - http://arxiv.org/licenses/nonexclusive-distrib/1.0/', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0000.json.gz:1118975', 'submitter': 'Shiro Sakai', 'url': 'https://arxiv.org/abs/1905.01487'}",arxiv-abstracts,"  We theoretically study the effect of a magnetic field on quasicrystalline
superconductors, by modelling them as the attractive Hubbard model on the
Penrose-tiling structure. We find that at low temperatures and under a high
magnetic field there appears an exotic superconducting state with the order
parameter changing its sign in real space. We discuss the state in comparison
with the Fulde-Ferrell-Larkin-Ovchinnikov state proposed many years ago for
periodic systems, clarifying commonalities and differences. It is remarkable
that, even in the absence of periodicity, the electronic system finds a way to
keep a coherent superconducting state with a spatially sign-changing order
parameter compatible with the underlying quasiperiodic structure.
"
2024-08-12T18:18:09.193928,2021-03-02 03:23:03,2103.01439,"{'authors': 'Wesley J. Maddox, Shuai Tang, Pablo Garcia Moreno, Andrew Gordon\n  Wilson, Andreas Damianou', 'full_text_license': 'arXiv.org - Non-exclusive license to distribute - http://arxiv.org/licenses/nonexclusive-distrib/1.0/', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0000.json.gz:1427979', 'submitter': 'Andrew Wilson', 'url': 'https://arxiv.org/abs/2103.01439'}",arxiv-abstracts,"  The inductive biases of trained neural networks are difficult to understand
and, consequently, to adapt to new settings. We study the inductive biases of
linearizations of neural networks, which we show to be surprisingly good
summaries of the full network functions. Inspired by this finding, we propose a
technique for embedding these inductive biases into Gaussian processes through
a kernel designed from the Jacobian of the network. In this setting, domain
adaptation takes the form of interpretable posterior inference, with
accompanying uncertainty estimation. This inference is analytic and free of
local optima issues found in standard techniques such as fine-tuning neural
network weights to a new task. We develop significant computational speed-ups
based on matrix multiplies, including a novel implementation for scalable
Fisher vector products. Our experiments on both image classification and
regression demonstrate the promise and convenience of this framework for
transfer learning, compared to neural network fine-tuning. Code is available at
https://github.com/amzn/xfer/tree/master/finite_ntk.
"
2024-08-12T18:19:25.776818,2006-10-29 00:50:55,math/0610890,"{'authors': 'Raul E. Curto and Jasang Yoon', 'full_text_license': 'None', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0001.json.gz:515987', 'submitter': 'Raul Curto', 'url': 'https://arxiv.org/abs/math/0610890'}",arxiv-abstracts,"  We study the spectral pictures of (jointly) hyponormal 2-variable weighted
shifts with commuting subnormal components. By contrast with all known results
in the theory of subnormal single and 2-variable weighted shifts, we show that
the Taylor essential spectrum can be disconnected. We do this by obtaining a
simple sufficient condition that guarantees disconnectedness, based on the
norms of the horizontal slices of the shift. We also show that for every k >= 1
there exists a k-hyponormal 2-variable weighted shift whose horizontal and
vertical slices have 1- or 2-atomic Berger measures, and whose Taylor essential
spectrum is disconnected.
"
2024-08-12T18:18:38.422655,2023-03-03 14:56:35,2303.01987,"{'authors': 'R. A. Konoplya, Z. Stuchlik, A. Zhidenko, A. F. Zinhailo', 'full_text_license': 'arXiv.org - Non-exclusive license to distribute - http://arxiv.org/licenses/nonexclusive-distrib/1.0/', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0000.json.gz:1779891', 'submitter': 'Alexander Zhidenko', 'url': 'https://arxiv.org/abs/2303.01987'}",arxiv-abstracts,"  We find accurate quasinormal frequencies of a quantum corrected black hole
constructed in the renormalization group theory via the coordinate-independent
iterative procedure, leading to the Dymnikova regular black hole. We show that
while the fundamental mode is only slightly affected by the quantum correction,
the overtones change at a much stronger rate. This outburst of overtones occurs
because of the deformation of the geometry of the Schwarzschild black hole
solely near the event horizon. For finding accurate values of overtones we
developed a general procedure allowing one to use the Leaver method to metrics
which, initially, are not expressed in terms of rational functions.
"
2024-08-12T18:17:35.511683,2018-06-11 02:32:20,1806.03775,"{'authors': 'Zhipeng Li, Tianmeng Wang, Zhengguang Lu, Chenhao Jin, Yanwen Chen,\n  Yuze Meng, Zhen Lian, Takashi Taniguchi, Kenji Watanabe, Shengbai Zhang,\n  Dmitry Smirnov, Su-Fei Shi', 'full_text_license': 'arXiv.org - Non-exclusive license to distribute - http://arxiv.org/licenses/nonexclusive-distrib/1.0/', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0000.json.gz:988509', 'submitter': 'Sufei Shi', 'url': 'https://arxiv.org/abs/1806.03775'}",arxiv-abstracts,"  Strong Coulomb interactions in single-layer transition metal dichalcogenides
(TMDs) result in the emergence of strongly bound excitons, trions and
biexcitons. These excitonic complexes possess the valley degree of freedom,
which can be exploited for quantum optoelectronics. However, in contrast to the
good understanding of the exciton and trion properties, the binding energy of
the biexciton remains elusive, with theoretical calculations and experimental
studies reporting discrepant results. In this work, we resolve the conflict by
employing low-temperature photoluminescence spectroscopy to identify the
biexciton state in BN encapsulated single-layer WSe2. The biexciton state only
exists in charge neutral WSe2, which is realized through the control of
efficient electrostatic gating. In the lightly electron-doped WSe2, one free
electron binds to a biexciton and forms the trion-exciton complex. Improved
understanding of the biexciton and trion-exciton complexes paves the way for
exploiting the many-body physics in TMDs for novel optoelectronics
applications.
"
2024-08-12T18:18:58.601151,2024-04-23 12:42:07,2404.14985,"{'authors': 'Yingquan Wang and Pingping Zhang and Dong Wang and Huchuan Lu', 'full_text_license': 'arXiv.org - Non-exclusive license to distribute - http://arxiv.org/licenses/nonexclusive-distrib/1.0/', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0001.json.gz:104237', 'submitter': 'Pingping Zhang Dr', 'url': 'https://arxiv.org/abs/2404.14985'}",arxiv-abstracts,"  Object Re-Identification (Re-ID) aims to identify and retrieve specific
objects from images captured at different places and times. Recently, object
Re-ID has achieved great success with the advances of Vision Transformers
(ViT). However, the effects of the global-local relation have not been fully
explored in Transformers for object Re-ID. In this work, we first explore the
influence of global and local features of ViT and then further propose a novel
Global-Local Transformer (GLTrans) for high-performance object Re-ID. We find
that the features from last few layers of ViT already have a strong
representational ability, and the global and local information can mutually
enhance each other. Based on this fact, we propose a Global Aggregation Encoder
(GAE) to utilize the class tokens of the last few Transformer layers and learn
comprehensive global features effectively. Meanwhile, we propose the Local
Multi-layer Fusion (LMF) which leverages both the global cues from GAE and
multi-layer patch tokens to explore the discriminative local representations.
Extensive experiments demonstrate that our proposed method achieves superior
performance on four object Re-ID benchmarks.
"
2024-08-12T18:17:43.747533,2019-03-15 03:29:14,1903.07672,"{'authors': 'Xiaoyu Li and Zhenpo Wang', 'full_text_license': 'Creative Commons - Attribution - https://creativecommons.org/licenses/by/4.0/', 'license': 'Creative Commons Zero - Public Domain - https://creativecommons.org/publicdomain/zero/1.0/', 'provenance': 'arxiv-abstracts-dolma-0000.json.gz:1099119', 'submitter': 'Xiaoyu Li', 'url': 'https://arxiv.org/abs/1903.07672'}",arxiv-abstracts,"  The state of health for lithium battery is necessary to ensure the
reliability and safety for battery energy storage system. Accurate prediction
battery state of health plays an extremely important role in guaranteeing
safety and minimizing the maintenance costs. However, the complex
physicochemical characteristics of battery degradation cannot be obtained
directly. Here a novel Gaussian process regression model based on partial
incremental capacity curve is proposed. First, an advanced Gaussian filter
method is applied to obtain the smoothing incremental capacity curves. The
health indexes are then extracted from the partial incremental capacity curves
as the input features of the proposed model. Otherwise, the mean and the
covariance function of the proposed method are applied to predict battery state
of health and the model uncertainty, respectively. Four aging datasets from
NASA data repository are employed for demonstrating the predictive capability
and efficacy of the degradation model using the proposed method. Besides,
different initial health conditions of the tested batteries are used to verify
the robustness and reliability of the proposed method. Results show that the
proposed method can provide accurate and robust state of health estimation.
"
